Agency,Posting Type,NUmber Of Positions,Business Title,Civil Service Title,Title Classification,Job Category,Time Indicator,Career Level,Salary Range From,Salary Range To,Salary Frequency
POLICE DEPARTMENT,Internal,1,Grant Writer/ Researcher,CITY RESEARCH SCIENTIST,Non-Competitive-5,"Administration & Human Resources Policy, Research & Analysis",,Experienced (non-manager),75504,94761,Annual
DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,Fleet and Logistics Specialist,SUPERVISOR OF MOTOR TRANSPORT,Competitive-1,Health,F,Manager,52647,65000,Annual
FIRE DEPARTMENT,Internal,1,Deputy Medical Director,AGENCY DEPUTY MEDICAL DIRECTOR,Non-Competitive-5,Health,F,Manager,97830,199650,Annual
MAYORS OFFICE OF CONTRACT SVCS,Internal,1,"Functional Business Analyst, Chief Technology Office",RESEARCH PROJECTS COOR(MA)-MGR,Pending Classification-2,"Technology, Data & Innovation",F,Manager,80000,100000,Annual
DEPARTMENT OF TRANSPORTATION,Internal,2,Event Coordinator,COMMUNITY COORDINATOR,Non-Competitive-5,"Communications & Intergovernmental Affairs Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),54100,83981,Annual
DEPT OF HEALTH/MENTAL HYGIENE,External,1,"Environmental Review Policy Analyst, Bureau of Environmental Surveillance and Policy",CITY RESEARCH SCIENTIST,Non-Competitive-5,Health,F,Entry-Level,84468,97138,Annual
OFFICE OF MANAGEMENT & BUDGET,External,1,Unit Head  CUNY Expense and Revenue,BUDGET ANALYST (OMB),Pending Classification-2,"Finance, Accounting, & Procurement Policy, Research & Analysis",F,Manager,103307,103307,Annual
BRONX DISTRICT ATTORNEY,Internal,5,Assistant District Attorney -  Special Investigations Bureau,ASSISTANT DISTRICT ATTORNEY (S,Exempt-4,"Legal Affairs Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),80440,167610,Annual
HUMAN RIGHTS COMMISSION,External,4,Tester,COMMUNITY ASSISTANT,Non-Competitive-5,"Constituent Services & Community Programs Public Safety, Inspections, & Enforcement Social Services",P,Entry-Level,15.5747,17.9109,Hourly
DEPARTMENT OF CITY PLANNING,Internal,1,MAPPING & SPATIAL RECORDS SPECIALIST - PAR,CITY PLANNER,Competitive-1,"Engineering, Architecture, & Planning",,Experienced (non-manager),65208,95993,Annual
ADMIN TRIALS AND HEARINGS,External,2,Facility and Security Coordinator,PRINCIPAL ADMINISTRATIVE ASSOC,Competitive-1,Building Operations & Maintenance,F,Experienced (non-manager),47418,54531,Annual
OFFICE OF THE COMPTROLLER,External,1,Senior Investment Officer- Private Equity,INVESTMENT MANAGER (COMPTROLLE,Non-Competitive-5,"Finance, Accounting, & Procurement",F,Manager,160000,175000,Annual
BRONX DISTRICT ATTORNEY,External,1,Trial Preparation Assistant LV 3 - Trial Bureau 40,COMMUNITY COORDINATOR,Non-Competitive-5,"Legal Affairs Public Safety, Inspections, & Enforcement",,Experienced (non-manager),65000,65000,Annual
HRA/DEPT OF SOCIAL SERVICES,Internal,1,PRINCIPAL ASSISTANT TO DEPUTY COMMISSIONER,PRINCIPAL ADMINISTRATIVE ASSOC,Competitive-1,Administration & Human Resources,F,Experienced (non-manager),58695,67499,Annual
TAXI & LIMOUSINE COMMISSION,Internal,1,Project Manager - IT,COMPUTER SYSTEMS MANAGER,Competitive-1,"Technology, Data & Innovation",F,Experienced (non-manager),58700,125000,Annual
DEPT OF PARKS & RECREATION,Internal,2,Senior IT Project Manager,IT PROJECT SPECIALIST,Non-Competitive-5,"Technology, Data & Innovation",F,Experienced (non-manager),90000,100000,Annual
DEPT OF PARKS & RECREATION,Internal,2,Senior IT Project Manager,IT PROJECT SPECIALIST,Non-Competitive-5,"Technology, Data & Innovation",F,Experienced (non-manager),90000,100000,Annual
DEPT OF HEALTH/MENTAL HYGIENE,Internal,5,"Scientist Water Ecologist Trainee, Bureau of Environmental Sciences and Engineering",SCIENTIST (WATER ECOLOGY) TRAI,Competitive-1,Health,F,Experienced (non-manager),39213,45095,Annual
DEPT OF YOUTH & COMM DEV SRVS,Internal,1,Digital Storyteller,COMMUNITY COORDINATOR,Non-Competitive-5,Constituent Services & Community Programs,F,Experienced (non-manager),54100,83981,Annual
ADMIN FOR CHILDREN'S SVCS,External,3,Paralegal,PARALEGAL AIDE,Competitive-1,Legal Affairs,F,Experienced (non-manager),37611,43253,Annual
DEPT OF HEALTH/MENTAL HYGIENE,External,1,"Application Support Specialist, Bureau of IT Strategy and Project Management",CYBER SECURITY ANALYST,Competitive-1,Health,F,Experienced (non-manager),78795,94244,Annual
NYC HOUSING AUTHORITY,External,3,CARETAKER E - ELEVATOR DISPATCHER,CARETAKER (HA),Labor-3,"Technology, Data & Innovation",F,Entry-Level,31836,46278,Annual
NYC HOUSING AUTHORITY,Internal,1,SECRETARY,SECRETARY,Competitive-1,Administration & Human Resources,F,Entry-Level,36390,58953,Annual
DEPARTMENT OF TRANSPORTATION,Internal,1,Civil Engineer,CIVIL ENGINEER,Competitive-1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),80557,111917,Annual
DEPARTMENT OF TRANSPORTATION,Internal,1,ASSOCIATE DEPUTY COMMISSIONER,ADMINISTRATIVE CONSTRUCTION PR,Competitive-1,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,Manager,80931,208826,Annual
DEPARTMENT OF TRANSPORTATION,External,2,Community Coordinator,COMMUNITY COORDINATOR,Non-Competitive-5,Constituent Services & Community Programs Legal Affairs,F,Experienced (non-manager),54100,83981,Annual
HUMAN RIGHTS COMMISSION,External,2,Supervising Attorney- Employment,EXECUTIVE AGENCY COUNSEL,Non-Competitive-5,Legal Affairs,F,Manager,95000,110000,Annual
OFFICE OF THE COMPTROLLER,External,1,Agency Supply Coordinator,SUPERVISOR OF STOCK WORKERS,Competitive-1,Administration & Human Resources,F,Experienced (non-manager),47955,52750,Annual
HRA/DEPT OF SOCIAL SERVICES,External,1,DEPUTY COMMISSIONER OF STRATEGIC PARTNERSHIPS,ADMINISTRATIVE STAFF ANALYST (,Competitive-1,Administration & Human Resources Communications & Intergovernmental Affairs Social Services,F,Manager,135000,162000,Annual
DEPT. OF HOMELESS SERVICES,External,1,ELECTRICIAN,ELECTRICIAN,Competitive-1,Building Operations & Maintenance Social Services,F,Experienced (non-manager),440.16,440.16,Daily
DEPT OF DESIGN & CONSTRUCTION,Internal,1,Assistant Commissioner,ADMINISTRATIVE CONSTRUCTION PR,Competitive-1,"Engineering, Architecture, & Planning",F,Executive,72038,163598,Annual
DEPARTMENT OF CORRECTION,Internal,1,Executive Director of Counseling,ADMINISTRATIVE DIRECTOR OF SOC,Competitive-1,Constituent Services & Community Programs,F,Manager,100000,130000,Annual
FINANCIAL INFO SVCS AGENCY,External,1,QUALITY CONTROL ASSOCIATE,BOOKKEEPER,Competitive-1,"Technology, Data & Innovation",F,Experienced (non-manager),50217,65000,Annual
DEPT. OF HOMELESS SERVICES,External,1,QUALITY MANAGEMENT COORDINATOR,CITY RESEARCH SCIENTIST,Non-Competitive-5,Constituent Services & Community Programs Social Services,F,Experienced (non-manager),75504,86830,Annual
BRONX DISTRICT ATTORNEY,Internal,4,Special Officer,SPECIAL OFFICER,Competitive-1,"Legal Affairs Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),40554,40554,Annual
NYC HOUSING AUTHORITY,Internal,1,CARETAKER X (HA),CARETAKER (HA),Labor-3,Building Operations & Maintenance,F,Entry-Level,31836,46278,Annual
OFFICE OF THE COMPTROLLER,External,1,Deputy Agency Chief Contracting Officer (DACCO) / Legal Counsel,EXECUTIVE AGENCY COUNSEL,Non-Competitive-5,"Finance, Accounting, & Procurement",F,Manager,100000,120000,Annual
HRA/DEPT OF SOCIAL SERVICES,Internal,1,TIMEKEEPING SUPERVISOR,PRINCIPAL ADMINISTRATIVE ASSOC,Competitive-1,Administration & Human Resources Social Services,F,Experienced (non-manager),53057,77124,Annual
DEPARTMENT OF FINANCE,External,1,M/WBE Outreach Coordinator,PROCUREMENT ANALYST,Competitive-1,"Communications & Intergovernmental Affairs Finance, Accounting, & Procurement",F,Experienced (non-manager),69012,77000,Annual
DEPT. OF HOMELESS SERVICES,Internal,1,CARPENTER,CARPENTER,Competitive-1,Building Operations & Maintenance Social Services,F,Experienced (non-manager),375.06,375.06,Daily
CONSUMER AND WORKER PROTECTION,External,1,Customer Service Representative,CLERICAL ASSOCIATE,Competitive-1,Constituent Services & Community Programs,F,Experienced (non-manager),32850,40017,Annual
HRA/DEPT OF SOCIAL SERVICES,Internal,3,ENROLLMENT SPECIALIST,COMMUNITY ASSOCIATE,Non-Competitive-5,Social Services,P,Entry-Level,20.9814,20.9814,Hourly
DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,"Public Health Advisor, Bureau of Sexually Transmitted Diseases Prevention and Control",PUBLIC HEALTH ADVISER,Competitive-1,Health,F,Experienced (non-manager),41452,52821,Annual
DEPARTMENT OF TRANSPORTATION,External,1,Senior Counsel,EXECUTIVE AGENCY COUNSEL,Non-Competitive-5,Legal Affairs,F,Manager,64922,173486,Annual
DEPARTMENT OF BUSINESS SERV.,Internal,1,"Program Manager, Capacity Building",CITY PLANNER,Competitive-1,Constituent Services & Community Programs,F,Experienced (non-manager),55208,79732,Annual
DEPT OF CITYWIDE ADMIN SVCS,Internal,4,College Aide,COLLEGE AIDE (ALL CITY DEPTS),Non-Competitive-5,Administration & Human Resources,P,Entry-Level,15.5,19.9,Hourly
DEPT OF HEALTH/MENTAL HYGIENE,Internal,2,"Child Care Registrar, Bureau of Childcare",COMMUNITY ASSOCIATE,Non-Competitive-5,Health,F,Experienced (non-manager),38333,44083,Annual
ADMIN FOR CHILDREN'S SVCS,Internal,1,"Security Consultant, Crossroads",COMMUNITY COORDINATOR,Non-Competitive-5,"Public Safety, Inspections, & Enforcement",P,Experienced (non-manager),30,45.9666,Hourly
DEPT OF PARKS & RECREATION,Internal,1,Business Analyst,IT PROJECT SPECIALIST,Non-Competitive-5,"Technology, Data & Innovation",F,Experienced (non-manager),85000,95000,Annual
DEPT OF PARKS & RECREATION,Internal,1,Business Analyst,IT PROJECT SPECIALIST,Non-Competitive-5,"Technology, Data & Innovation",F,Experienced (non-manager),85000,95000,Annual
DEPT. OF HOMELESS SERVICES,Internal,2,CRISSIS COORDINATOR,COMMUNITY COORDINATOR,Non-Competitive-5,Social Services,F,Experienced (non-manager),54100,83981,Annual
DEPARTMENT OF BUSINESS SERV.,Internal,2,"CONTRACT MANAGER, PROGRAM FINANCE & OPERATIONS",CONTRACT SPECIALIST,Competitive-1,Constituent Services & Community Programs,F,Experienced (non-manager),51132,78966,Annual
DEPT OF ENVIRONMENT PROTECTION,Internal,1,"Chief, Permit Resource Group",ADMINISTRATIVE ENGINEER,Competitive-1,"Engineering, Architecture, & Planning Policy, Research & Analysis",F,Manager,72038,192152,Annual
DEPT OF ENVIRONMENT PROTECTION,Internal,1,COMPUTER SPECIALIST,CERT IT DEVELOPER (APP),Competitive-1,"Technology, Data & Innovation",F,Experienced (non-manager),85371,119883,Annual
CAMPAIGN FINANCE BOARD,Internal,1,PERSONNEL OFFICER (PART-TIME),ADMIN ASST-CAMPAIGN FIN BOARD,Pending Classification-2,Administration & Human Resources,P,Entry-Level,27,33,Hourly
FINANCIAL INFO SVCS AGENCY,External,1,Financial Management Systems Developer,IT PROJECT SPECIALIST,Non-Competitive-5,"Technology, Data & Innovation",F,Experienced (non-manager),0,75000,Annual
FINANCIAL INFO SVCS AGENCY,External,1,WEB APPLICATION DEVELOPER,IT INFRASTRUCTURE ENGINEER,Non-Competitive-5,"Technology, Data & Innovation",F,Experienced (non-manager),110000,115000,Annual
TAXI & LIMOUSINE COMMISSION,External,1,Legal and Policy Research Advisor,AGENCY ATTORNEY,Non-Competitive-5,"Legal Affairs Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),79620,100000,Annual
DEPT OF HEALTH/MENTAL HYGIENE,External,2,"Office Administrator,  Bureau of Childcare",PRINCIPAL ADMINISTRATIVE ASSOC,Competitive-1,Health,F,Experienced (non-manager),53057,61015,Annual
DEPARTMENT OF CORRECTION,External,1,"Director, Correction Intelligence Bureau",CONFIDENTIAL AGENCY INVESTIGAT,Non-Competitive-5,"Public Safety, Inspections, & Enforcement",F,Manager,115000,120000,Annual
ADMIN FOR CHILDREN'S SVCS,External,35,Attorney Interne,AGENCY ATTORNEY INTERNE,Non-Competitive-5,Legal Affairs,F,Experienced (non-manager),71757,71757,Annual
DEPT OF CITYWIDE ADMIN SVCS,Internal,1,Project Manager,CITY RESEARCH SCIENTIST,Non-Competitive-5,"Engineering, Architecture, & Planning",F,Experienced (non-manager),75504,86830,Annual
HRA/DEPT OF SOCIAL SERVICES,External,2,EMPLOYMENT PROCESSING REPRESENTATIVE,PRINCIPAL ADMINISTRATIVE ASSOC,Competitive-1,Administration & Human Resources Social Services,F,Experienced (non-manager),58695,67499,Annual
NYC HOUSING AUTHORITY,Internal,1,Electrician's Helper,ELECTRICIANS HELPER,Competitive-1,Building Operations & Maintenance,F,Experienced (non-manager),39.9,39.9,Hourly
LAW DEPARTMENT,External,1,Application Associate (Part Time) - IT Division,COMPUTER AIDE,Competitive-1,"Technology, Data & Innovation",P,Experienced (non-manager),24.3043,27.9502,Hourly
FINANCIAL INFO SVCS AGENCY,Internal,1,TECHNOLOGY TRANSACTIONS ATTORNEY,EXECUTIVE AGENCY COUNSEL,Non-Competitive-5,"Technology, Data & Innovation Legal Affairs",F,Executive,58700,130000,Annual
ADMIN FOR CHILDREN'S SVCS,Internal,1,Operations Manager,ADMINISTRATIVE DIRECTOR OF RES,Competitive-1,Social Services,F,Experienced (non-manager),80000,84000,Annual
DEPT OF CITYWIDE ADMIN SVCS,Internal,2,"Assistant Engineer, Load Management",INSTRUMENTATION SPECIALIST,Competitive-1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),74773,76650,Annual
DEPARTMENT OF TRANSPORTATION,Internal,1,ASSISTANT COMMISSIONER/DEPUTY CHIEF ENGINEER,ADMINISTRATIVE ENGINEER,Competitive-1,"Engineering, Architecture, & Planning",F,Manager,80931,208826,Annual
DEPARTMENT OF TRANSPORTATION,Internal,1,Manager of Design & Construction,CIVIL ENGINEER,Competitive-1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),90114,122168,Annual
NYC HOUSING AUTHORITY,External,1,Senior Project Manager,ASSOCIATE HOUSING DEVELOPMENT,Competitive-1,"Engineering, Architecture, & Planning Policy, Research & Analysis",,Experienced (non-manager),74650,109409,Annual
DEPT OF DESIGN & CONSTRUCTION,Internal,1,Deputy Director,ADM CONSTRUCTION PRJ MGR-NM,Competitive-1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),53702,123150,Annual
OFFICE OF MANAGEMENT & BUDGET,External,1,Analyst  Technology Budget & Management,BUDGET ANALYST (OMB),Pending Classification-2,"Finance, Accounting, & Procurement Technology, Data & Innovation Policy, Research & Analysis",F,Entry-Level,46856,70291,Annual
HRA/DEPT OF SOCIAL SERVICES,Internal,1,PROCEDURES COORDINATOR,PRINCIPAL ADMINISTRATIVE ASSOC,Competitive-1,"Administration & Human Resources Policy, Research & Analysis",F,Experienced (non-manager),61015,77124,Annual
DEPT OF ENVIRONMENT PROTECTION,Internal,1,Senior Environmental Program Coordinator,CITY RESEARCH SCIENTIST,Non-Competitive-5,"Engineering, Architecture, & Planning",F,Experienced (non-manager),84468,111003,Annual
BRONX DISTRICT ATTORNEY,Internal,15,Homicide Assistant District Attorney,ASSISTANT DISTRICT ATTORNEY (S,Exempt-4,"Legal Affairs Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),120000,167610,Annual
DEPARTMENT OF TRANSPORTATION,External,18,Traffic Device Maintainer,TRAFFIC DEVICE MAINTAINER,Competitive-1,"Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),51317,67044,Annual
FINANCIAL INFO SVCS AGENCY,External,1,WEBSPHERE ADMINISTRATOR,SENIOR IT ARCHITECT,Non-Competitive-5,"Technology, Data & Innovation",F,Experienced (non-manager),100000,129000,Annual
DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,"Clearance Administrator, Bureau of Childcare",INVESTIGATOR,Competitive-1,"Health Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),41483,47705,Annual
DEPARTMENT OF TRANSPORTATION,External,1,Space Analyst,SPACE ANALYST,Competitive-1,"Engineering, Architecture, & Planning Building Operations & Maintenance",F,Experienced (non-manager),57078,85646,Annual
DEPARTMENT OF CORRECTION,External,1,Auto Mechanic (Diesel),AUTO MECHANIC (DIESEL),Competitive-1,Building Operations & Maintenance,F,Entry-Level,37.28,43.4,Hourly
NYC HOUSING AUTHORITY,External,1,Secretary,SECRETARY,Competitive-1,Administration & Human Resources,F,Experienced (non-manager),40017,62820,Annual
HUMAN RIGHTS COMMISSION,Internal,1,Policy Counsel,AGENCY ATTORNEY,Non-Competitive-5,"Legal Affairs Policy, Research & Analysis",F,Experienced (non-manager),71423,107032,Annual
DEPARTMENT FOR THE AGING,External,1,Volunteer Information Specialist (Per-Diem),COMMUNITY COORDINATOR,Non-Competitive-5,Communications & Intergovernmental Affairs Social Services,F,Experienced (non-manager),29.6114,34.05,Hourly
DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,Software Developer,COMPUTER ASSOC (SOFTWARE),Competitive-1,"Technology, Data & Innovation",F,Experienced (non-manager),69618,80061,Annual
DISTRICT ATTORNEY RICHMOND COU,External,4,Criminal Court Assistant,COMMUNITY ASSOCIATE,Non-Competitive-5,"Legal Affairs Policy, Research & Analysis",F,Experienced (non-manager),40000,52000,Annual
DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,"Supervising Public Health Nurse, Bureau of School Health",PUBLIC HEALTH NURSE,Competitive-1,Health,F,Experienced (non-manager),84252,84252,Annual
DEPT OF HEALTH/MENTAL HYGIENE,External,2,"Budget Analyst, Bureau of Budget and Revenue/Budget Administration",ECONOMIST,Competitive-1,"Finance, Accounting, & Procurement",F,Experienced (non-manager),42288,59400,Annual
DEPARTMENT OF CORRECTION,External,1,Senior QA Specialist,IT AUTOMATION AND MONITORING E,Non-Competitive-5,"Technology, Data & Innovation",F,Experienced (non-manager),100000,140000,Annual
DEPT OF ENVIRONMENT PROTECTION,External,1,Gardener II,GARDENER,Competitive-1,"Engineering, Architecture, & Planning Building Operations & Maintenance Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),55806,69093,Annual
DISTRICT ATTORNEY RICHMOND COU,Internal,2,Computer Programmer Analyst,COMPUTER PROGRAMMER ANALYST,Competitive-1,"Technology, Data & Innovation",F,Experienced (non-manager),65000,78000,Annual
DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,"X-Ray Technician, Bureau of Tuberculosis Control",X-RAY TECHNICIAN,Competitive-1,Health,F,Experienced (non-manager),53750,60738,Annual
DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,"Referral Coordinator, Bureau of Children, Youth, and Families",PRINCIPAL ADMINISTRATIVE ASSOC,Competitive-1,Health,F,Experienced (non-manager),47418,54531,Annual
DEPARTMENT OF FINANCE,Internal,1,M/WBE Outreach Coordinator,PROCUREMENT ANALYST,Competitive-1,"Communications & Intergovernmental Affairs Finance, Accounting, & Procurement",F,Experienced (non-manager),69012,77000,Annual
DEPARTMENT OF CORRECTION,Internal,1,Reasonable Accommodation (RA) Legal Coordinator,AGENCY ATTORNEY,Non-Competitive-5,Legal Affairs,F,Experienced (non-manager),71423,82137,Annual
DEPARTMENT OF CITY PLANNING,External,1,PAYROLL SPECIALIST,PRINCIPAL ADMINISTRATIVE ASSOC,Competitive-1,Administration & Human Resources,F,Experienced (non-manager),58695,80000,Annual
DEPARTMENT OF INVESTIGATION,External,1,Budget Analyst,STAFF ANALYST,Competitive-1,"Finance, Accounting, & Procurement Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),53797,61886,Annual
DEPARTMENT OF BUILDINGS,External,3,Project Advocate,ASSISTANT PLAN EXAMINER (BLDGS,Competitive-1,"Communications & Intergovernmental Affairs Engineering, Architecture, & Planning Policy, Research & Analysis Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),59661,77250,Annual
HOUSING PRESERVATION & DVLPMNT,External,1,Operations and Data Analyst for Housing Opportunity & Program Services,ASSOCIATE HOUSING DEVELOPMENT,Competitive-1,Constituent Services & Community Programs,F,Experienced (non-manager),74650,85847,Annual
DEPT OF CITYWIDE ADMIN SVCS,External,1,Fleet EV Charging Coordinator,ASSOCIATE QUALITY ASSURANCE SP,Competitive-1,"Technology, Data & Innovation",F,Experienced (non-manager),61238,70424,Annual
LAW DEPARTMENT,Internal,1,Data Analyst,STAFF ANALYST,Competitive-1,"Legal Affairs Policy, Research & Analysis",F,Experienced (non-manager),58152,74479,Annual
NYC HOUSING AUTHORITY,External,1,CARETAKER X,CARETAKER (HA),Labor-3,Building Operations & Maintenance,F,Entry-Level,31836,46278,Annual
ADMIN FOR CHILDREN'S SVCS,Internal,1,Budget Analyst,ASSOCIATE STAFF ANALYST,Competitive-1,"Finance, Accounting, & Procurement",F,Experienced (non-manager),70611,81203,Annual
DEPARTMENT OF BUILDINGS,Internal,1,Deputy Press Secretary,COMMUNITY COORDINATOR,Non-Competitive-5,Communications & Intergovernmental Affairs,F,Experienced (non-manager),54100,62215,Annual
CONSUMER AND WORKER PROTECTION,External,1,Senior Staff Counsel,AGENCY ATTORNEY,Non-Competitive-5,Legal Affairs,F,Experienced (non-manager),79620,91563,Annual
NYC HOUSING AUTHORITY,Internal,1,HOUSING EXTERMINATOR L1,HOUSING EXTERMINATOR (HA),Competitive-1,"Policy, Research & Analysis Public Safety, Inspections, & Enforcement",F,Entry-Level,33558,54820,Annual
LAW DEPARTMENT,External,1,Supervising Budget Analyst,ASSOCIATE STAFF ANALYST,Competitive-1,"Finance, Accounting, & Procurement",F,Experienced (non-manager),70611,81203,Annual
DEPT OF ENVIRONMENT PROTECTION,Internal,1,Assistant Mechanical Engineer,ASSISTANT MECHANICAL ENGINEER,Competitive-1,"Engineering, Architecture, & Planning",F,Entry-Level,57078,85646,Annual
FIRE DEPARTMENT,External,1,Data Analyst,CITY RESEARCH SCIENTIST,Non-Competitive-5,"Technology, Data & Innovation Policy, Research & Analysis",F,Experienced (non-manager),75504,94761,Annual
FIRE DEPARTMENT,Internal,1,Administrative Staff Analyst,ADMINISTRATIVE STAFF ANALYST (,Competitive-1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),84451,84451,Annual
DEPT OF ENVIRONMENT PROTECTION,External,4,ENGINEERING TECHNICIAN III,ENGINEERING TECHNICIAN,Competitive-1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),49003,72195,Annual
DEPARTMENT OF SANITATION,External,1,"Senior Manager, Zero Waste Schools",COMMUNITY COORDINATOR,Non-Competitive-5,Constituent Services & Community Programs,F,Experienced (non-manager),54100,83981,Annual
FIRE DEPARTMENT,Internal,1,"Director, EEO",EXECUTIVE AGENCY COUNSEL,Non-Competitive-5,Legal Affairs,F,Manager,64922,150000,Annual
DEPARTMENT OF TRANSPORTATION,Internal,1,Mail Services & Store Manager,ADM MANAGER-NON-MGRL FRM M1/M2,Competitive-1,Administration & Human Resources Building Operations & Maintenance,F,Experienced (non-manager),60718,90773,Annual
DEPT OF ENVIRONMENT PROTECTION,Internal,1,"Director of Budget, Executive Administration",ADM MANAGER-NON-MGRL FRM M1/M2,Competitive-1,"Finance, Accounting, & Procurement",F,Experienced (non-manager),74730,130000,Annual
DEPT. OF HOMELESS SERVICES,External,1,FAMILY WORKER,FRAUD INVESTIGATOR,Competitive-1,"Public Safety, Inspections, & Enforcement Social Services",F,Experienced (non-manager),51079,80478,Annual
FINANCIAL INFO SVCS AGENCY,Internal,1,COLLEGE AIDE,COLLEGE AIDE - ASSIGNMENT LEVE,Non-Competitive-5,"Technology, Data & Innovation",F,Student,16.02,19.3,Hourly
ADMIN FOR CHILDREN'S SVCS,Internal,1,Administrative Assistant,PRINCIPAL ADMINISTRATIVE ASSOC,Competitive-1,Administration & Human Resources,F,Experienced (non-manager),53057,61015,Annual
HRA/DEPT OF SOCIAL SERVICES,External,1,COMMUNITY LIAISON COORDINATOR,COMMUNITY COORDINATOR,Non-Competitive-5,Social Services,F,Experienced (non-manager),54100,83981,Annual
DEPT OF ENVIRONMENT PROTECTION,External,4,Assistant Civil Engineer,ASSISTANT CIVIL ENGINEER,Competitive-1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),57078,65640,Annual
DEPT. OF HOMELESS SERVICES,Internal,1,PROGRAM ADMINISTRATOR,ADMINISTRATIVE DIRECTOR OF SOC,Competitive-1,Administration & Human Resources Social Services,F,Manager,111127,125000,Annual
OFFICE OF THE COMPTROLLER,Internal,1,Senior Investment Officer- Private Equity,INVESTMENT MANAGER (COMPTROLLE,Non-Competitive-5,"Finance, Accounting, & Procurement",F,Manager,160000,175000,Annual
NYC HOUSING AUTHORITY,Internal,12,Supervisor Painter,SUPERVISOR PAINTER,Competitive-1,Building Operations & Maintenance,F,Experienced (non-manager),47.76,47.76,Hourly
OFF OF PAYROLL ADMINISTRATION,External,1,Mailroom Assistant,STOCK WORKER,Competitive-1,Building Operations & Maintenance,F,Experienced (non-manager),36900,55173,Annual
DEPARTMENT OF CORRECTION,Internal,5,RMAS Legal Coordinator,LEGAL COORDINATOR,Competitive-1,Social Services,F,Experienced (non-manager),47418,54531,Annual
DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,Assistant Director,CRIMINALIST ASSISTANT DIRECTOR,Non-Competitive-5,Health,F,Manager,58700,120000,Annual
HRA/DEPT OF SOCIAL SERVICES,External,1,COMMUNICATIONS COORDINATOR,COMMUNITY COORDINATOR,Non-Competitive-5,Social Services,F,Experienced (non-manager),54100,68048,Annual
DEPARTMENT OF BUILDINGS,Internal,9,Plumbing Inspector,INSPECTOR (PLUMBING),Competitive-1,"Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),53563,61800,Annual
FINANCIAL INFO SVCS AGENCY,Internal,1,UNIX SYSTEMS ADMINISTRATOR,SENIOR IT ARCHITECT,Non-Competitive-5,"Technology, Data & Innovation",F,Experienced (non-manager),100000,145000,Annual
HRA/DEPT OF SOCIAL SERVICES,External,1,CLIENT ADVOCATE,PRINCIPAL ADMINISTRATIVE ASSOC,Competitive-1,Social Services,F,Experienced (non-manager),53057,61015,Annual
HRA/DEPT OF SOCIAL SERVICES,External,1,SYSTEMS DESIGN ANALYSIS,COMPUTER ASSOC (SOFTWARE),Competitive-1,Administration & Human Resources Social Services,F,Experienced (non-manager),71707,99805,Annual
LAW DEPARTMENT,Internal,1,Deputy Unit Chief - Brooklyn Central Services,CUSTOMER INFORMATION REP,Competitive-1,Legal Affairs,F,Experienced (non-manager),59305,59305,Annual
LAW DEPARTMENT,External,1,Division Chief Secretary - Administration Division,"LEGAL SECRETARIAL ASST- L2,3,4",Competitive-1,Administration & Human Resources,F,Experienced (non-manager),68048,68048,Annual
TAXI & LIMOUSINE COMMISSION,Internal,4,Radio Room Operator,OPERATIONS COMMUNICATION SPECI,Competitive-1,"Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),40091,54018,Annual
ADMIN FOR CHILDREN'S SVCS,External,4,Investigative Consultant Level 2,PROTECTION AGENT (ACS),Non-Competitive-5,"Public Safety, Inspections, & Enforcement Social Services",F,Experienced (non-manager),61151,76912,Annual
DEPARTMENT OF TRANSPORTATION,Internal,1,Fiscal Analyst,ASSOCIATE STAFF ANALYST,Competitive-1,Administration & Human Resources Building Operations & Maintenance,F,Experienced (non-manager),70611,105138,Annual
NYC HOUSING AUTHORITY,External,1,Plumbing Engineer,MECHANICAL ENGINEER,Competitive-1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),80557,111917,Annual
